Coop,Society,Producer,ProducerID,Field ID,Field,FIELD Size,DOBProducer,FarmerGender,NationalId,PurchasingClerkCard,PhoneNumber,Hhsize,NumberChildren,HHAssessed
Sankofa,Goldfield Society,Arjun Ivanov,SNK-0001,SNK-0001-F1,Field 1,4.87,1970,Male,NID-843821378-5,,+1130116391,4,2,
Sankofa,Highgate Society,Lucia Larsen,SNK-0002,SNK-0002-F1,Field 1,4.32,2000,Female,NID-404535483-1,,,7,3,No
Sankofa,Highgate Society,Lucia Larsen,SNK-0002,SNK-0002-F2,Field 2,2.97,2000,Female,,,,,,
Sankofa,Highgate Society,Aisha Santos,SNK-0003,SNK-0003-F1,Field 1,2.39,1999,Female,NID-551918197-5,,+1492434193,1,6,
Sankofa,Highgate Society,Aisha Santos,SNK-0003,SNK-0003-F2,Field 2,2.66,1999,Female,,,,,,
Sankofa,Goldfield Society,Omar Andersson,SNK-0004,SNK-0004-F1,Field 1,4.73,1983,Male,,,+1454620036,4,1,
Sankofa,Goldfield Society,James Garcia,SNK-0005,SNK-0005-F1,Field 1,3.87,1974,Male,,,+1155533253,3,4,
Sankofa,Southbank Society,James Costa,SNK-0006,SNK-0006-F1,Field 1,0.68,1983,Male,NID-788363277-0,,,2,1,No
Sankofa,Southbank Society,James Costa,SNK-0006,SNK-0006-F2,Field 2,2.01,1983,Male,,,,,,
Sankofa,Southbank Society,Liam Reyes,SNK-0007,SNK-0007-F1,Field 1,2.64,1997,Male,,,+1740382971,2,0,
Sankofa,Goldfield Society,Fatima Nguyen,SNK-0008,SNK-0008-F1,Field 1,0.95,1974,Female,,,+1073088680,10,4,Yes
Sankofa,Southbank Society,Sofia Santos,SNK-0009,SNK-0009-F1,Field 1,0.78,1992,Female,NID-648612543-2,,+1149404821,2,4,No
Sankofa,Clearwater Society,Mateo Haddad,SNK-0010,SNK-0010-F1,Field 1,2.94,1979,Male,,,+1761481177,5,5,
Sankofa,Clearwater Society,Mateo Haddad,SNK-0010,SNK-0010-F2,Field 2,3.98,1979,Male,,,,,,
Sankofa,Highgate Society,Aisha Santos,SNK-0011,SNK-0011-F1,Field 1,0.55,1973,Female,,,,6,1,No
Sankofa,Palmgrove Society,James Santos,SNK-0012,SNK-0012-F1,Field 1,2.93,1997,Male,NID-184188950-0,,+1495898966,4,4,Yes
Sankofa,Clearwater Society,Arjun Santos,SNK-0013,SNK-0013-F1,Field 1,1.58,1978,Male,NID-726068754-8,,+1695961801,2,4,Yes
Sankofa,Clearwater Society,Arjun Santos,SNK-0013,SNK-0013-F2,Field 2,1.91,1978,Male,,,,,,
Sankofa,Clearwater Society,Lucas Fischer,SNK-0014,SNK-0014-F1,Field 1,2.90,1967,Male,NID-156736352-7,,+1656734095,4,4,
Sankofa,Palmgrove Society,Lucas Khan,SNK-0015,SNK-0015-F1,Field 1,0.66,1978,Male,NID-632769418-8,,,6,5,
Sankofa,Palmgrove Society,Lucas Khan,SNK-0015,SNK-0015-F2,Field 2,3.43,1978,Male,,,,,,
Sankofa,Southbank Society,Aisha Kim,SNK-0016,SNK-0016-F1,Field 1,2.79,1988,Female,NID-104281323-4,,+1220976134,7,1,Yes
Sankofa,Southbank Society,Aisha Kim,SNK-0016,SNK-0016-F2,Field 2,0.64,1988,Female,,,,,,
Sankofa,Southbank Society,Elena Andersson,SNK-0017,SNK-0017-F1,Field 1,4.49,1991,Female,,,,2,6,
Sankofa,Southbank Society,Elena Andersson,SNK-0017,SNK-0017-F2,Field 2,4.03,1991,Female,,,,,,
Sankofa,Clearwater Society,Mateo Reyes,SNK-0018,SNK-0018-F1,Field 1,4.28,1989,Male,NID-233772428-4,,,5,0,
Sankofa,Clearwater Society,Mateo Reyes,SNK-0018,SNK-0018-F2,Field 2,4.21,1989,Male,,,,,,
Sankofa,Palmgrove Society,Omar Haddad,SNK-0019,SNK-0019-F1,Field 1,2.65,1993,Male,NID-236614945-8,,+1668653155,8,1,
Sankofa,Highgate Society,Lucas Patel,SNK-0020,SNK-0020-F1,Field 1,1.02,1986,Male,NID-815222815-5,,+1991779096,10,4,
