Coop,ProducerID,Producer,FarmerGender,DOBProducer,PhoneNumber,NationalId,PurchasingClerkCard,HHAssessed,Society,Hhsize,NumberChildren,Field ID,Field,FIELD Size
Sankofa,SNK-9001,Kofi Antwi,male,1964,+1211935423,NID-727971-3,,Yes,Southbank Society,8,5,SNK-9001-F1,Field 1,2.65
Sankofa,SNK-9001,Kofi Antwi,male,1964,+1211935423,NID-727971-3,,Yes,Southbank Society,8,5,SNK-9001-F2,Field 2,4.07
Sankofa,SNK-9002,Fiifi Antwi,male,1963,+1268766020,NID-782998-3,,No,Palmgrove Society,9,1,SNK-9002-F1,Field 1,1.24
Sankofa,SNK-9003,Afua Tetteh,female,1991,+1258885508,NID-187914-7,,No,Goldfield Society,2,5,SNK-9003-F1,Field 1,3.98
Sankofa,SNK-9004,Akosua Frimpong,female,1974,+1238814852,NID-600677-1,,Yes,Palmgrove Society,2,1,SNK-9004-F1,Field 1,5.08
Nkabom,NKB-9001,Kojo Amoah,male,1996,+1240794006,NID-873450-4,,Yes,Clearwater Society,9,2,NKB-9001-F1,Field 1,3.26
Nkabom,NKB-9001,Kojo Amoah,male,1996,+1240794006,NID-873450-4,,Yes,Clearwater Society,9,2,NKB-9001-F2,Field 2,4.58
Nkabom,NKB-9002,Atta Dapaah,male,1976,+1217799994,NID-284565-4,,Yes,Meadowbrook Society,3,3,NKB-9002-F1,Field 1,4.04
Nkabom,NKB-9003,Abena Mensah,female,1971,+1298027814,NID-800869-5,,Yes,Sunbright Society,2,0,NKB-9003-F1,Field 1,3.2
Nkabom,NKB-9004,Kwabena Dapaah,male,1980,+1223073246,NID-154529-8,,Yes,Hillcrest Society,2,1,NKB-9004-F1,Field 1,4.06
Adwuma,ADW-9001,Yaa Gyamfi,female,1983,+1217174063,NID-632472-0,,Yes,Cedarwood Society,8,4,ADW-9001-F1,Field 1,4.2
Adwuma,ADW-9001,Yaa Gyamfi,female,1983,+1217174063,NID-632472-0,,Yes,Cedarwood Society,8,4,ADW-9001-F2,Field 2,1.48
Adwuma,ADW-9002,Kojo Asante,male,1998,+1276611774,NID-605299-8,,Yes,Clearwater Society,3,2,ADW-9002-F1,Field 1,1.81
Adwuma,ADW-9003,Afua Gyamfi,female,1992,+1214668582,NID-633988-9,,No,Greenvale Society,5,5,ADW-9003-F1,Field 1,4.99
Adwuma,ADW-9004,Yaa Antwi,female,1993,+1210735013,NID-242535-8,,No,Cedarwood Society,8,5,ADW-9004-F1,Field 1,3.47
Aboma,ABM-9001,Kojo Dapaah,male,1980,+1254349438,NID-570060-7,,Yes,Greenvale Society,6,4,ABM-9001-F1,Field 1,3.11
Aboma,ABM-9001,Kojo Dapaah,male,1980,+1254349438,NID-570060-7,,Yes,Greenvale Society,6,4,ABM-9001-F2,Field 2,4.57
Aboma,ABM-9002,Kwaku Nyarko,male,1966,+1247368127,NID-475630-4,,Yes,Riverside Society,5,1,ABM-9002-F1,Field 1,2.23
Aboma,ABM-9003,Ama Tetteh,female,1965,+1243729627,NID-691339-7,,No,Brookside Society,2,0,ABM-9003-F1,Field 1,4.01
Aboma,ABM-9004,Yaw Nyarko,male,1993,+1244831285,NID-384932-7,,Yes,Northfield Society,8,0,ABM-9004-F1,Field 1,2.32
Ayekoo,AYK-9001,Akosua Tetteh,female,1997,+1220038637,NID-767490-6,,Yes,Meadowbrook Society,8,5,AYK-9001-F1,Field 1,2.03
Ayekoo,AYK-9001,Akosua Tetteh,female,1997,+1220038637,NID-767490-6,,Yes,Meadowbrook Society,8,5,AYK-9001-F2,Field 2,4.65
Ayekoo,AYK-9002,Ama Adjei,female,1998,+1242145676,NID-449860-4,,Yes,Palmgrove Society,3,1,AYK-9002-F1,Field 1,1.31
Ayekoo,AYK-9003,Kwame Gyamfi,male,1995,+1280807526,NID-359047-8,,No,Meadowbrook Society,7,4,AYK-9003-F1,Field 1,3.71
Ayekoo,AYK-9004,Kwaku Adjei,male,1971,+1234522337,NID-844918-4,,Yes,Clearwater Society,5,5,AYK-9004-F1,Field 1,3.14
Nhyira,NHY-9001,Akua Adjei,female,1991,+1221135165,NID-827889-7,,Yes,Oakridge Society,7,2,NHY-9001-F1,Field 1,3.5
Nhyira,NHY-9001,Akua Adjei,female,1991,+1221135165,NID-827889-7,,Yes,Oakridge Society,7,2,NHY-9001-F2,Field 2,1.55
Nhyira,NHY-9002,Kwaku Adjei,male,1965,+1263644565,NID-779264-4,,Yes,Silverstone Society,2,4,NHY-9002-F1,Field 1,2.59
Nhyira,NHY-9003,Atta Appiah,male,1995,+1225668322,NID-328055-3,,No,Silverstone Society,3,4,NHY-9003-F1,Field 1,2.83
Nhyira,NHY-9004,Yaa Ofori,female,1978,+1210187176,NID-388988-3,,Yes,Fairview Society,4,5,NHY-9004-F1,Field 1,2.85
